iter	Logloss
0	0.6679233443
5	0.5733421746
10	0.5151135242
15	0.4784600168
20	0.4547049631
25	0.4389090388
30	0.4280635396
35	0.4203386582
40	0.4147911047
45	0.4106217629
50	0.4074470915
55	0.404937512
60	0.402964392
65	0.4013596803
70	0.4000289072
75	0.3988818171
80	0.3979207662
85	0.3971047949
90	0.3963746844
95	0.3957345123
100	0.3951723625
105	0.3946717425
110	0.3941820419
115	0.3937304916
120	0.3933362573
125	0.3929458742
130	0.3926140305
135	0.3922728078
140	0.3919670621
145	0.3916604102
150	0.3913868793
155	0.3911301127
160	0.390899263
165	0.3906623871
170	0.3904220677
175	0.3901808875
180	0.3899852881
185	0.3897921355
190	0.389603831
195	0.3894089566
200	0.3892188397
205	0.3890268651
210	0.3888659273
215	0.3887023615
220	0.3885302776
225	0.3883870556
230	0.3882291534
235	0.3880886952
240	0.3879343272
245	0.3877959986
250	0.3876598901
255	0.3875358338
260	0.3874112338
265	0.3872852746
270	0.3871589982
275	0.3870425991
280	0.3869155072
285	0.3867938976
290	0.3866763205
295	0.3865540766
300	0.3864415289
305	0.3863352337
310	0.3862341039
315	0.3861294852
320	0.3860303036
325	0.3859251865
330	0.385821021
335	0.3857122792
340	0.3856145475
345	0.3855196249
350	0.3854283725
355	0.3853377543
360	0.3852530263
365	0.385158874
370	0.3850602815
375	0.3849764597
380	0.3848794529
385	0.384790919
390	0.3847123983
395	0.3846225504
400	0.3845443469
405	0.384460797
410	0.3843851308
415	0.384296325
420	0.3842199339
425	0.3841377432
430	0.3840612615
435	0.3839924823
440	0.3839160006
445	0.3838363019
450	0.3837668884
455	0.3837003294
460	0.3836210838
465	0.3835454629
470	0.3834663079
475	0.3833941759
480	0.3833218626
485	0.383255077
490	0.3831927317
495	0.3831220948
500	0.3830605651
505	0.3829998056
510	0.3829352402
515	0.3828671859
520	0.3828005363
525	0.3827323914
530	0.3826657418
535	0.3826100569
540	0.38254821
545	0.3824885832
550	0.3824283222
555	0.3823670643
560	0.3822999162
565	0.382241105
570	0.3821781707
575	0.3821256122
580	0.3820661667
585	0.382006404
590	0.3819478647
595	0.3818870146
600	0.3818215882
605	0.3817579743
610	0.3817019269
615	0.3816460155
620	0.3815826281
625	0.3815352801
630	0.3814795953
635	0.3814139877
640	0.3813551765
645	0.3813038867
650	0.381254681
655	0.3811997211
660	0.3811418161
665	0.3810859047
670	0.3810366084
675	0.3809834608
680	0.380928365
685	0.3808765767
690	0.3808190795
695	0.3807635758
700	0.3807111985
705	0.3806590931
710	0.3806035895
715	0.3805535682
720	0.3805052688
725	0.3804596878
730	0.3804100291
735	0.380364131
740	0.3803100772
745	0.3802547548
750	0.3802039634
755	0.380153625
760	0.380103785
765	0.3800480775
770	0.3800048979
775	0.3799556922
780	0.3799109269
785	0.3798639414
790	0.3798167973
795	0.3797726436
800	0.3797196999
805	0.3796799865
810	0.3796348813
815	0.3795812127
820	0.3795384862
825	0.3794932677
830	0.3794474829
835	0.3794042127
840	0.3793620073
845	0.3793132548
850	0.379273564
855	0.3792242904
860	0.3791782337
865	0.3791374782
870	0.3790874343
875	0.379039973
880	0.3789957967
885	0.3789493096
890	0.378904952
895	0.3788655784
900	0.3788149908
905	0.3787694098
910	0.3787264342
915	0.3786832546
920	0.3786360652
925	0.3785906202
930	0.3785514505
935	0.3785087014
940	0.3784672662
945	0.3784228633
950	0.3783825609
955	0.378332585
960	0.3782909006
965	0.3782504623
970	0.3782107035
975	0.3781632423
980	0.3781193151
985	0.3780799868
990	0.378037351
995	0.3779977735
1000	0.3779571313
1005	0.3779150391
1010	0.3778692996
1015	0.3778286574
1020	0.3777917078
1025	0.3777491399
1030	0.3777084524
1035	0.3776714575
1040	0.3776314269
1045	0.3775912378
1050	0.3775488511
1055	0.3775072347
1060	0.3774677705
1065	0.3774284649
1070	0.377390292
1075	0.3773472937
1080	0.3773085091
1085	0.3772681387
1090	0.3772310079
1095	0.3771917476
1100	0.377155523
1105	0.3771154471
1110	0.3770714973
1115	0.3770297676
1120	0.3769943812
1125	0.3769558005
1130	0.3769166988
1135	0.376875898
1140	0.3768299546
1145	0.3767888592
1150	0.3767535181
1155	0.3767142805
1160	0.3766753826
1165	0.3766366434
1170	0.3765950723
1175	0.3765606147
1180	0.3765235292
1185	0.3764869875
1190	0.3764537079
1195	0.3764191598
1200	0.3763812134
1205	0.3763482057
1210	0.3763077674
1215	0.3762714068
1220	0.3762301529
1225	0.3761948798
1230	0.3761531275
1235	0.3761188965
1240	0.3760825133
1245	0.3760484408
1250	0.3760105398
1255	0.37597282
1260	0.3759383624
1265	0.375903044
1270	0.375860091
1275	0.3758208986
1280	0.3757851951
1285	0.3757507375
1290	0.3757112053
1295	0.37567267
1300	0.3756427207
1305	0.375606043
1310	0.3755672584
1315	0.3755291534
1320	0.3754987964
1325	0.3754676237
1330	0.3754284314
1335	0.3753908701
1340	0.3753520856
1345	0.3753181264
1350	0.3752811089
1355	0.3752445218
1360	0.3752080253
1365	0.3751694446
1370	0.3751328802
1375	0.3750975391
1380	0.3750605216
1385	0.3750276272
1390	0.3749910175
1395	0.3749541585
1400	0.3749167332
1405	0.3748775862
1410	0.3748456433
1415	0.3748125903
1420	0.3747761391
1425	0.3747397786
1430	0.3747059101
1435	0.3746741937
1440	0.3746374027
1445	0.3746016312
1450	0.3745675135
1455	0.3745283664
1460	0.3744929347
1465	0.374458228
1470	0.3744243368
1475	0.3743888371
1480	0.3743593182
1485	0.3743242264
1490	0.3742876846
1495	0.3742524341
1500	0.3742195624
1505	0.3741804606
1510	0.3741415628
